Borrower,Book,borrowed from,borrowed to
"Chish,Elijah",Data Smart,05/14/2008,05/29/2008
"Zhungwang,Ava",Birth of a Theorem,06/28/2021,07/13/2021
"Jumummaaq,James",Integration of the Indian States,08/29/2004,09/12/2004
"Odum,Oliver","Hunchback of Notre Dame, The",07/30/2019,08/20/2019
"Zhungwang,Noah","Prisoner of Birth, A",12/30/2020,01/25/2021
"Barret-Kingsley,Emma",Machine Learning for Hackers,11/25/2014,12/19/2014
"Barret-Kingsley,Emma",Radiowaril Bhashane & Shrutika,07/25/2003,08/19/2003
"Aexi,Liam","Complete Sherlock Holmes, The - Vol II",05/09/2015,05/31/2015
"Oomxii,Sophia",False Impressions,04/17/2010,05/17/2010
"Barret-Kingsley,Emma",New Markets & Other Essays,06/15/2007,07/16/2007
"Augusta,Olivia",Python for Data Analysis,08/10/2019,09/05/2019
"Jumummaaq,James",Machine Learning for Hackers,09/15/2006,10/11/2006
"Aexi,Liam",Identity & Violence,06/23/2020,07/19/2020
"Chish,Elijah","Analysis, Vol I",04/10/2013,05/08/2013
"Odum,Oliver","Hunchback of Notre Dame, The",06/27/2009,07/19/2009
"Zhungwang,Ava",Superfreakonomics,06/04/2021,06/23/2021
"Zhungwang,Ava","Theory of Everything, The",01/19/2021,02/11/2021
"Ghaada,Charlotte",Identity & Violence,05/09/2014,06/05/2014
"Augusta,Olivia","Prisoner of Birth, A",01/27/2010,02/19/2010
"Zhungwang,Ava",Journal of a Novel,01/11/2021,02/03/2021
"Chish,Elijah","Signal and the Noise, The",02/11/2011,02/27/2011
"Jumummaaq,James",Data Scientists at Work,01/10/2007,02/05/2007
"Chish,Elijah",Physics & Philosophy,02/21/2007,03/14/2007
"Aexi,Liam",Superfreakonomics,10/02/2011,10/28/2011
"Augusta,Olivia",We the Living,02/29/2008,03/25/2008
"Augusta,Olivia",Burning Bright,05/12/2012,05/26/2012
"Barret-Kingsley,Emma",In a Free State,06/12/2000,07/08/2000
"Barret-Kingsley,Emma","Hidden Connections, The",12/05/2009,01/02/2010
"Jumummaaq,James",Doctor in the Nude,07/14/2008,08/06/2008
"Jayi,William",All the President's Men,01/22/2021,02/16/2021
"Jayi,William","Last Mughal, The",10/12/2015,11/02/2015
"Aexi,Liam",Ashenden of The British Agent,09/12/2011,10/04/2011
"Aexi,Liam",Free Will,11/07/2015,11/29/2015
"Jayi,William",Electric Universe,11/26/2018,12/22/2018
"Zhungwang,Ava",Making Software,01/16/2021,02/03/2021
"Chish,Elijah","Prisoner of Birth, A",08/09/2014,08/31/2014
"Aexi,Liam","Tao of Physics, The",04/27/2021,05/25/2021
"Aexi,Liam",Beyond the Three Seas,08/08/2010,08/24/2010
"Odum,Oliver","Complete Sherlock Holmes, The - Vol II",09/28/2001,10/15/2001
"Zhungwang,Noah",How to Think Like Sherlock Holmes,03/11/2021,03/30/2021
"Odum,Oliver","Moon is Down, The",07/15/2007,08/01/2007
"Chish,Elijah",Scoop!,05/10/2021,06/09/2021
"Chish,Elijah","Moon is Down, The",01/10/2007,02/10/2007
"Chish,Elijah",Image Processing & Mathematical Morphology,04/25/2015,05/11/2015
"Aexi,Liam",In a Free State,06/20/2014,07/10/2014
"Ghaada,Charlotte",Data Structures Using C & C++,03/04/2018,03/28/2018
"Oomxii,Sophia",Data Scientists at Work,06/17/2021,07/07/2021
"Oomxii,Sophia",Electric Universe,05/28/2013,06/24/2013
"Odum,Oliver",History of Western Philosophy,12/22/2003,01/20/2004
"Ghaada,Charlotte",History of Western Philosophy,03/11/2011,04/09/2011
"Oomxii,Sophia","Social Choice & Welfare, Vol 39 No. 1",06/20/2018,07/17/2018
"Ghaada,Charlotte","Story of Philosophy, The",11/05/2018,11/19/2018
"Augusta,Olivia","Pillars of the Earth, The",03/20/2007,04/18/2007
"Jayi,William","Russian Journal, A",12/10/2017,01/09/2018
"Jumummaaq,James","Great Indian Novel, The",08/26/2005,09/10/2005
"Aexi,Liam",Electric Universe,08/21/2017,09/06/2017
"Oomxii,Sophia",Identity & Violence,08/30/2014,09/14/2014
"Augusta,Olivia",Uncommon Wisdom,01/10/2019,02/06/2019
"Jayi,William",Textbook of Economic Theory,12/08/2019,12/31/2019
"Jayi,William","Trial, The",03/17/2015,04/02/2015
"Jumummaaq,James","Farewell to Arms, A",05/06/2005,06/06/2005
"Zhungwang,Noah",Free Will,05/22/2021,06/20/2021
"Ghaada,Charlotte",Electric Universe,06/20/2016,07/12/2016
"Odum,Oliver",Burning Bright,07/17/2005,08/04/2005
"Chish,Elijah",Data Structures Using C & C++,12/29/2012,01/19/2013
"Odum,Oliver","Russian Journal, A",03/27/2001,04/14/2001
"Barret-Kingsley,Emma",Birth of a Theorem,02/05/2005,03/02/2005
"Augusta,Olivia",Crime and Punishment,10/24/2020,11/13/2020
"Jayi,William",Slaughterhouse Five,07/19/2013,08/16/2013
"Aexi,Liam",Rationality & Freedom,07/01/2019,07/29/2019
"Odum,Oliver","Complete Mastermind, The",10/23/2012,11/14/2012
"Zhungwang,Ava","Analysis, Vol I",02/20/2021,03/07/2021
"Zhungwang,Ava","Hidden Connections, The",12/15/2020,01/08/2021
"Ghaada,Charlotte",Ahe Manohar Tari,05/20/2010,06/16/2010
"Jumummaaq,James",One,08/24/2007,09/07/2007
"Aexi,Liam",Beyond the Three Seas,04/18/2019,05/15/2019
"Ghaada,Charlotte",Statistical Decision Theory',12/16/2018,01/16/2019
"Zhungwang,Ava",Slaughterhouse Five,12/17/2020,12/31/2020
"Chish,Elijah",Journal of a Novel,07/29/2014,08/26/2014
"Jumummaaq,James",Freedom at Midnight,05/11/2006,06/10/2006
"Jumummaaq,James",Scoop!,06/09/2007,07/06/2007
"Jayi,William",Down and Out in Paris & London,10/23/2012,11/23/2012
"Odum,Oliver","Signal and the Noise, The",11/20/2002,12/14/2002
"Zhungwang,Ava","Pillars of the Earth, The",03/28/2021,04/13/2021
"Augusta,Olivia",Machine Learning for Hackers,09/23/2004,10/13/2004
"Ghaada,Charlotte","Tao of Physics, The",09/16/2011,10/13/2011
"Odum,Oliver","Prisoner of Birth, A",10/07/2011,11/05/2011
"Augusta,Olivia",In a Free State,12/06/2008,12/24/2008
"Odum,Oliver",O Jerusalem!,09/15/2001,10/13/2001
"Oomxii,Sophia","Nature of Statistical Learning Theory, The",10/25/2019,11/13/2019
"Zhungwang,Ava","Nature of Statistical Learning Theory, The",06/19/2021,07/16/2021
"Oomxii,Sophia",India from Midnight to Milennium,12/29/2012,01/12/2013
"Jayi,William",Clash of Civilizations and Remaking of the World Order,01/15/2012,02/04/2012
"Jayi,William",Birth of a Theorem,12/14/2018,12/28/2018
"Aexi,Liam","Story of Philosophy, The",08/30/2020,09/21/2020
"Odum,Oliver",Uncommon Wisdom,06/28/2007,07/19/2007
"Zhungwang,Ava",Orientalism,04/13/2021,05/06/2021
"Jayi,William",Manasa,05/26/2014,06/21/2014
"Ghaada,Charlotte",India from Midnight to Milennium,01/29/2019,03/01/2019
"Aexi,Liam","Hunchback of Notre Dame, The",04/05/2020,05/04/2020
"Jumummaaq,James","Analysis, Vol I",11/28/2007,12/19/2007
"Jayi,William","Computer Vision, A Modern Approach",03/03/2012,03/19/2012
"Zhungwang,Noah","Signal and the Noise, The",03/07/2021,03/29/2021
"Jumummaaq,James",History of Western Philosophy,04/13/2005,05/12/2005
"Jumummaaq,James",Once There Was a War,09/24/2004,10/20/2004
"Ghaada,Charlotte","Raisin in the Sun, A",02/15/2017,03/06/2017
"Zhungwang,Ava",Down and Out in Paris & London,02/21/2021,03/07/2021
"Jumummaaq,James","New Machiavelli, The",04/19/2007,05/14/2007
"Aexi,Liam","Theory of Everything, The",12/08/2011,12/31/2011
"Augusta,Olivia",Once There Was a War,03/17/2016,04/05/2016
"Oomxii,Sophia",New Markets & Other Essays,07/06/2012,07/30/2012
"Oomxii,Sophia",Clash of Civilizations and Remaking of the World Order,05/14/2009,06/07/2009
"Oomxii,Sophia",Radiowaril Bhashane & Shrutika,10/20/2016,11/11/2016
"Jayi,William",Fundamentals of Wavelets,01/22/2012,02/10/2012
"Oomxii,Sophia",Tales of Mystery and Imagination,01/08/2021,02/02/2021
"Barret-Kingsley,Emma","Russian Journal, A",08/02/2004,09/01/2004
"Ghaada,Charlotte",Tales of Mystery and Imagination,02/12/2018,03/10/2018
"Zhungwang,Noah",Birth of a Theorem,11/27/2020,12/27/2020








